Estacion,Viajes
2,35861
3,30042
4,31870
5,21392
6,19236
8,15144
9,32927
10,22448
11,73228
12,31418
13,20162
14,29446
15,22067
16,47102
17,38827
18,22250
19,23391
20,21058
21,48944
22,29125
23,34109
24,18222
25,23643
26,30832
27,38382
28,33084
29,17176
30,31861
31,20950
32,44545
33,30124
34,60556
35,61342
36,30145
37,17296
38,52399
39,25220
40,28668
41,16473
42,36268
43,19487
44,19840
45,29820
46,22779
47,24106
48,17613
49,30227
50,97196
51,108958
52,85463
53,46948
54,70670
55,21013
56,68685
57,20595
58,60490
59,20691
60,20937
61,24896
62,34298
63,44994
64,53669
65,54007
66,58273
67,27688
68,22256
69,56814
70,38006
71,18872
72,30152
73,45399
74,27552
75,71737
76,16512
77,19507
78,26805
79,34700
80,52618
81,22576
82,27502
83,20927
84,23470
85,46284
86,50872
87,14178
88,17377
91,1581
92,2213
93,1972
95,1782
96,2502
97,713
98,5070
100,4442
101,1502
102,3986
103,3072
104,2052
105,2289
106,8538
107,482
108,3332
110,3865
111,4470
112,3145
113,1018
114,1694
115,876
117,5645
118,748
119,1808
120,1698
125,6908
126,8213
127,6378
128,3598
129,1913
130,9877
131,7021
132,3905
133,11235
134,5452
135,4469
136,4944
137,3506
139,5044
140,9904
141,18591
142,10502
143,12081
144,3984
145,2575
146,2762
147,2287
148,14115
149,5408
150,8181
151,5867
152,5967
153,4906
154,19805
155,18891
156,32320
157,36702
158,30007
159,13182
160,21942
161,20566
162,28843
163,25238
164,10393
165,31354
166,20417
167,7914
168,26949
169,16521
170,22130
171,37317
172,24848
173,54100
174,21921
175,22728
176,14426
177,15544
178,19630
179,21953
180,21442
181,15118
182,31805
183,20228
184,12460
185,9489
186,10754
187,10759
188,25599
189,14375
190,13063
191,18174
192,12540
193,13896
194,45654
195,21119
196,41539
197,20975
198,23570
199,42760
200,22370
201,15991
202,14220
203,20226
204,13899
205,5217
206,10717
207,20968
208,13833
209,6116
210,14022
211,13996
212,6978
213,5399
214,7253
215,4718
216,12668
217,2922
218,3506
219,6655
220,3491
221,6879
222,7061
223,1940
224,12086
225,11276
226,35546
227,16165
228,10700
229,9940
230,16292
231,7687
232,17657
233,28215
234,13994
235,12772
236,17535
237,6552
238,5345
239,3100
240,2391
241,6749
242,4586
243,7163
244,20169
246,15074
247,31120
248,7953
249,20120
250,8532
251,3096
253,152
