Estacion,Viajes
2,18094
3,14112
4,15242
5,10493
6,10892
8,8105
9,17293
10,11627
11,35107
12,16106
13,9783
14,14209
15,10768
16,23680
17,19427
18,10733
19,10499
20,10133
21,23314
22,14389
23,16764
24,8841
25,11205
26,15330
27,19926
28,15940
29,9190
30,15196
31,13471
32,21474
33,14861
34,33793
35,32599
36,16282
37,8884
38,27433
39,12211
40,14295
41,7859
42,19741
43,9635
44,9213
45,13401
46,10952
47,11412
48,8586
49,14684
50,50382
51,59744
52,43335
53,25149
54,37482
55,11552
56,37753
57,11145
58,31587
59,11552
60,10681
61,12219
62,17921
63,22808
64,27346
65,27183
66,29339
67,13402
68,10905
69,28608
70,19462
71,8896
72,15059
73,22239
74,13251
75,34401
76,8496
77,10544
78,17225
79,18330
80,28621
81,11473
82,12558
83,10585
84,11498
85,24152
86,24669
87,6415
88,8142
91,680
92,1022
93,1026
95,870
96,1123
97,316
98,2551
100,1975
101,699
102,1789
103,1717
104,1210
105,863
106,4402
107,219
108,1745
110,2005
111,2807
112,1850
113,425
114,1022
115,411
117,2418
118,341
119,878
120,847
125,2798
126,3497
127,2693
128,1628
129,833
130,4708
131,3358
132,1845
133,4932
134,2593
135,1964
136,2311
137,1694
139,2591
140,4329
141,9247
142,4906
143,5680
144,1740
145,1143
146,1124
147,1089
148,6020
149,2691
150,3961
151,2627
152,2790
153,2177
154,9284
155,9801
156,15856
157,19723
158,17492
159,7664
160,11246
161,9944
162,17415
163,13552
164,5455
165,14940
166,9766
167,3524
168,13006
169,7684
170,10790
171,17615
172,12901
173,27693
174,11510
175,12057
176,6265
177,7237
178,11850
179,10585
180,10562
181,8584
182,15704
183,9194
184,5742
185,4497
186,4790
187,4991
188,11278
189,6651
190,5988
191,7709
192,5406
193,5943
194,18485
195,8612
196,19038
197,8967
198,9924
199,20672
200,10392
201,5977
202,6552
203,9069
204,6555
205,1908
206,4746
207,9836
208,6415
209,2704
210,6490
211,6511
212,2836
213,2236
214,2883
215,2035
216,5271
217,1323
218,1639
219,2956
220,1554
221,3048
222,3113
223,534
224,5362
225,6268
226,18085
227,8565
228,5645
229,5328
230,8604
231,3771
232,10184
233,14957
234,7714
235,5922
236,10011
237,3148
238,2400
239,1462
240,1265
241,3162
242,2139
243,3183
244,9445
246,7529
247,18648
248,5083
249,10739
250,4648
251,1394
253,67
