Estacion,Viajes
2,3212
3,2481
4,2438
5,1709
6,1305
8,1296
9,2785
10,1579
11,5447
12,2795
13,1698
14,2564
15,1700
16,4072
17,3754
18,1951
19,1792
20,1600
21,4651
22,2333
23,3252
24,1640
25,1959
26,2668
27,3032
28,2681
29,1155
30,2802
31,1536
32,3180
33,2774
34,4041
35,5107
36,2846
37,1666
38,4218
39,2336
40,2068
41,1414
42,2815
43,1469
44,1660
45,2479
46,1908
47,1686
48,1217
49,2708
50,7798
51,11151
52,7170
53,4244
54,6409
55,1878
56,6020
57,1593
58,4818
59,1573
60,1628
61,1791
62,2964
63,3634
64,4145
65,5132
66,5155
67,2092
68,1695
69,4216
70,3085
71,1565
72,2509
73,3384
74,2118
75,5564
76,1436
77,1407
78,2024
79,2869
80,3902
81,2080
82,2199
83,1691
84,1904
85,3786
86,4286
87,1226
88,1441
91,155
92,116
93,140
95,226
96,111
98,343
100,202
101,136
102,239
103,253
104,124
105,122
106,588
107,34
108,178
110,317
111,291
112,285
113,88
114,134
115,44
117,437
118,42
119,124
120,94
125,525
126,713
127,435
128,268
129,134
130,744
131,524
132,294
133,783
134,377
135,412
136,367
137,220
139,334
140,733
141,1533
142,755
143,1038
144,208
145,251
146,231
148,964
149,469
150,831
151,522
152,610
153,482
154,1429
155,1278
156,2831
157,2631
158,2117
159,1119
160,1783
161,1500
162,1899
163,2000
164,918
165,2236
166,1652
167,591
168,2199
169,1468
170,1971
171,3134
172,2157
173,3218
174,1823
175,1970
176,1219
177,1603
178,1439
179,1867
180,1814
181,974
182,2946
183,1696
184,1146
185,802
186,587
187,824
188,1969
189,970
190,1004
191,1490
192,924
193,996
194,3894
195,1720
196,3485
197,1681
198,1784
199,3344
200,1714
201,1254
202,1094
203,1652
204,1004
205,353
206,849
207,1557
208,1011
209,515
210,1016
211,1073
212,603
213,311
214,486
215,288
216,1154
217,154
218,308
219,391
220,296
221,688
222,708
223,237
224,1278
225,835
226,2694
227,1140
228,878
229,657
230,1021
231,493
232,1057
233,1379
234,883
235,956
236,1648
237,497
238,566
239,336
240,236
241,496
242,259
243,536
244,1708
246,1271
247,1528
248,553
249,1772
250,1324
251,446
253,152
