Estacion,Viajes
2,2450
3,1991
4,2249
5,1312
6,1067
8,1066
9,1989
10,1563
11,4181
12,1905
13,1333
14,1786
15,1568
16,3044
17,2418
18,1454
19,1772
20,1452
21,2525
22,2081
23,2078
24,1091
25,1614
26,1565
27,2309
28,2015
29,1150
30,2107
31,1270
32,3180
33,2113
34,3645
35,3782
36,1934
37,1079
38,3438
39,1657
40,1885
41,1240
42,2469
43,1212
44,1387
45,1696
46,1328
47,1709
48,1285
49,1766
50,6244
51,5093
52,5878
53,2820
54,4112
55,1273
56,4613
57,1389
58,3939
59,1313
60,1397
61,1526
62,2105
63,3001
64,3539
65,3290
66,3348
67,1580
68,1336
69,3455
70,2490
71,1058
72,2042
73,2839
74,1632
75,5172
76,1071
77,1412
78,1634
79,2116
80,3734
81,412
82,1743
83,1453
84,1616
85,2646
86,3553
87,994
88,1022
91,106
92,261
93,237
95,73
96,185
97,120
98,255
100,393
101,138
102,263
103,245
104,60
105,132
106,707
107,68
108,322
110,95
111,228
112,159
113,81
114,122
115,55
117,472
118,49
119,90
120,141
125,482
126,565
127,366
128,217
129,133
130,812
131,496
132,287
133,818
134,432
135,307
136,271
137,276
139,451
140,603
141,1254
142,606
143,711
144,277
145,195
146,57
147,347
148,964
149,344
150,419
151,378
152,293
153,268
154,1460
155,997
156,2092
157,2555
158,2054
159,827
160,1463
161,1144
162,1196
163,1821
164,387
165,2073
166,1272
167,441
168,1994
169,1004
170,1236
171,2344
172,1033
173,2840
174,1202
175,912
176,946
177,893
178,1126
179,1296
180,1000
181,1078
182,1757
183,1584
184,716
185,491
186,801
187,817
188,1445
189,913
190,766
191,1348
192,689
193,995
194,2666
195,1135
196,2892
197,1408
198,1306
199,2744
200,1233
201,915
202,1067
203,1328
204,857
205,263
206,727
207,1521
208,795
209,491
210,971
211,778
212,380
213,315
214,414
215,368
216,778
217,215
218,134
219,440
220,255
221,428
222,479
223,163
224,639
225,860
226,2190
227,847
228,435
229,726
230,1086
231,452
232,1096
233,1934
234,905
235,893
236,1130
237,416
238,241
239,117
240,110
241,659
242,322
243,590
244,1063
246,589
247,1560
248,515
249,1241
