Estacion,Viajes
2,2610
3,2170
4,2150
5,1229
6,1045
8,1079
9,2291
10,1529
11,4655
12,1923
13,1392
14,1772
15,1509
16,2970
17,2235
18,1498
19,1556
20,1423
21,2803
22,2003
23,1993
24,1207
25,1687
26,1749
27,2567
28,2455
29,1387
30,2125
31,1436
32,3330
33,1987
34,4503
35,4665
36,2019
37,1163
38,3336
39,1427
40,2185
41,1104
42,2426
43,1329
44,1404
45,1704
46,1530
47,1788
48,1271
49,1936
50,6449
51,5378
52,5914
53,2783
54,4637
55,1602
56,5124
57,1462
58,4436
59,1290
60,1472
61,1588
62,2142
63,2852
64,3763
65,3128
66,3507
67,1714
68,1584
69,3766
70,2656
71,1163
72,2275
73,3175
74,1797
75,5019
76,989
77,1374
78,1911
79,2557
80,3989
81,1325
82,1778
83,1434
84,1513
85,3011
86,3652
87,916
88,1012
91,106
92,203
93,175
95,101
96,195
97,135
98,338
100,361
101,108
102,248
103,236
104,65
105,145
106,669
107,47
108,390
110,149
111,254
112,200
113,74
114,123
115,31
117,397
118,69
119,99
120,78
125,487
126,523
127,396
128,204
129,155
130,701
131,483
132,317
133,700
134,427
135,315
136,200
137,286
139,438
140,582
141,1185
142,734
143,757
144,322
145,174
146,89
147,344
148,963
149,338
150,427
151,397
152,314
153,310
154,1381
155,1191
156,2211
157,2597
158,2176
159,894
160,1483
161,1294
162,1573
163,1790
164,496
165,2326
166,1302
167,581
168,1823
169,1004
170,1436
171,2621
172,1412
173,3891
174,1296
175,1034
176,907
177,925
178,1256
179,1428
180,1505
181,1098
182,1879
183,1654
184,790
185,583
186,824
187,864
188,1561
189,1085
190,804
191,1291
192,784
193,909
194,2514
195,1257
196,2763
197,1366
198,1372
199,2895
200,1419
201,934
202,878
203,1175
204,915
205,222
206,810
207,1733
208,824
209,566
210,1039
211,734
212,314
213,343
214,650
215,381
216,701
217,279
218,199
219,494
220,269
221,372
222,417
223,107
224,736
225,828
226,2319
227,1094
228,517
229,742
230,1231
231,536
232,1203
233,2386
234,1098
235,916
236,1032
237,382
238,301
239,161
240,131
241,592
242,273
243,517
244,1196
246,962
247,2369
248,653
249,1246
