Estacion,Viajes
2,2929
3,2426
4,2717
5,2024
6,1624
8,1141
9,2890
10,1722
11,5906
12,2794
13,1957
14,2464
15,1965
16,4044
17,3079
18,1679
19,1919
20,1894
21,3818
22,2487
23,2739
24,1524
25,1871
26,2634
27,2748
28,2676
29,1128
30,2455
31,1682
32,3534
33,2521
34,4390
35,5072
36,2559
37,1341
38,4417
39,2127
40,2607
41,1449
42,3145
43,1545
44,1657
45,2715
46,1852
47,1971
48,1488
49,2546
50,8722
51,9306
52,7099
53,4116
54,6335
55,1647
56,5441
57,1829
58,4925
59,1878
60,1759
61,2195
62,2955
63,3839
64,4610
65,4976
66,4645
67,2371
68,1993
69,5020
70,3011
71,1700
72,2263
73,4073
74,2337
75,5908
76,1474
77,1598
78,2237
79,2728
80,4310
81,1960
82,2303
83,1680
84,2125
85,4116
86,4159
87,1235
88,1559
91,78
92,247
93,145
95,162
96,209
98,504
100,388
101,97
102,357
103,274
104,163
105,250
106,741
107,30
108,188
110,361
111,416
112,253
113,57
114,185
115,48
117,446
118,41
119,193
120,191
125,611
126,768
127,596
128,378
129,102
130,938
131,602
132,298
133,961
134,412
135,390
136,536
137,290
139,396
140,875
141,1639
142,737
143,1017
144,403
145,235
146,293
147,20
148,1216
149,472
150,634
151,346
152,484
153,464
154,1467
155,1647
156,2796
157,3142
158,2581
159,1010
160,1729
161,1811
162,1720
163,1997
164,1027
165,2226
166,1565
167,645
168,2095
169,1408
170,1860
171,2948
172,1935
173,4106
174,1936
175,1938
176,1198
177,1376
178,1529
179,1667
180,1750
181,1281
182,2805
183,1619
184,1019
185,847
186,1000
187,867
188,2187
189,1234
190,1185
191,1397
192,1098
193,1374
194,4016
195,1687
196,3531
197,2008
198,2224
199,3649
200,2076
201,1415
202,1140
203,1754
204,1400
205,561
206,982
207,1693
208,1470
209,538
210,1142
211,1427
212,626
213,531
214,546
215,384
216,1082
217,234
218,358
219,712
220,302
221,811
222,618
223,176
224,1334
225,1039
226,3091
227,1555
228,1097
229,955
230,1160
231,664
232,1317
233,1470
234,1259
235,1068
236,1437
237,483
238,510
239,192
240,165
241,563
242,400
243,597
244,1879
246,862
247,1772
248,404
249,1641
250,1047
251,368
