Estacion,Viajes
2,2862
3,2426
4,2675
5,2070
6,1746
8,1183
9,2719
10,2059
11,5895
12,2582
13,1693
14,2404
15,2094
16,4202
17,3316
18,1739
19,1986
20,1777
21,4101
22,2510
23,2760
24,1577
25,2115
26,2537
27,2929
28,2743
29,1200
30,2441
31,1818
32,3587
33,2504
34,4714
35,5073
36,2469
37,1274
38,4562
39,2013
40,2457
41,1193
42,3302
43,1554
44,1638
45,2500
46,1842
47,1992
48,1486
49,2426
50,7960
51,8540
52,6742
53,3604
54,6053
55,1775
56,5319
57,1463
58,4931
59,1880
60,1666
61,1986
62,2747
63,3503
64,4433
65,4846
66,4659
67,2306
68,1985
69,5152
70,3120
71,1735
72,2115
73,3916
74,2380
75,5732
76,1535
77,1611
78,2173
79,3053
80,4319
81,1789
82,2231
83,1630
84,2079
85,3782
86,4057
87,1229
88,1615
91,109
92,182
93,123
95,121
96,223
97,69
98,565
100,369
101,116
102,425
103,255
104,148
105,235
106,798
107,31
108,271
110,294
111,441
112,246
113,40
114,173
115,53
117,548
118,79
119,173
120,178
125,581
126,670
127,618
128,369
129,154
130,948
131,590
132,306
133,1087
134,430
135,373
136,528
137,284
139,359
140,833
141,1740
142,758
143,914
144,314
145,166
146,276
147,358
148,1058
149,402
150,613
151,464
152,474
153,401
154,1663
155,1751
156,2849
157,3353
158,2469
159,1087
160,1681
161,1772
162,1872
163,2243
164,880
165,2229
166,1493
167,595
168,2181
169,1392
170,1887
171,2888
172,2074
173,4296
174,1909
175,2033
176,1176
177,1421
178,1452
179,1762
180,1827
181,1242
182,2720
183,1551
184,972
185,816
186,1035
187,882
188,2433
189,1241
190,1254
191,1663
192,1098
193,1310
194,3771
195,1798
196,3195
197,1818
198,2114
199,3500
200,2050
201,1514
202,1270
203,1694
204,1341
205,498
206,848
207,1662
208,1429
209,505
210,1128
211,1302
212,600
213,502
214,631
215,470
216,1147
217,330
218,289
219,632
220,349
221,548
222,561
223,151
224,914
225,942
226,2709
227,1077
228,847
229,834
230,1011
231,577
232,1247
233,1306
234,1057
235,1009
236,1384
237,609
238,503
239,243
240,178
241,618
242,507
243,603
244,1855
246,932
247,1884
248,406
249,1935
250,419
