Estacion,Viajes
2,2893
3,2257
4,2616
5,1410
6,1707
8,1147
9,2518
10,1810
11,5839
12,2468
13,1583
14,2066
15,1650
16,3653
17,2879
18,1807
19,1997
20,1755
21,3523
22,2389
23,2399
24,1421
25,1691
26,2300
27,3027
28,2604
29,1512
30,2360
31,1626
32,3950
33,2210
34,5034
35,4816
36,2374
37,1256
38,4045
39,1634
40,2590
41,1215
42,2719
43,1601
44,1679
45,2106
46,1820
47,2049
48,1543
49,2203
50,7988
51,6746
52,6970
53,3575
54,5324
55,1838
56,5980
57,1567
58,4860
59,1565
60,1702
61,2356
62,2636
63,3628
64,4793
65,3627
66,4337
67,1986
68,1892
69,4408
70,3297
71,1347
72,2576
73,3812
74,2183
75,5793
76,1058
77,1658
78,2383
79,2788
80,4977
81,1660
82,2214
83,1616
84,1854
85,3696
86,4037
87,986
88,1346
91,104
92,195
93,178
95,113
96,301
97,134
98,491
100,439
101,160
102,296
103,255
104,118
105,152
106,709
107,39
108,447
110,252
111,317
112,271
113,97
114,133
115,132
117,485
118,88
119,152
120,91
125,454
126,585
127,460
128,241
129,157
130,766
131,551
132,330
133,919
134,544
135,369
136,382
137,297
139,555
140,692
141,1399
142,866
143,1004
144,456
145,237
146,138
147,451
148,1180
149,436
150,634
151,444
152,345
153,383
154,1716
155,1532
156,2501
157,3157
158,2827
159,1171
160,1637
161,1561
162,2096
163,2181
164,729
165,2740
166,1824
167,611
168,2004
169,1198
170,1766
171,2971
172,1749
173,5148
174,1596
175,1685
176,1207
177,1154
178,1625
179,1637
180,1688
181,1242
182,2390
183,1697
184,843
185,767
186,916
187,1108
188,1918
189,1388
190,1132
191,1561
192,969
193,947
194,3256
195,1678
196,3252
197,1545
198,1689
199,3630
200,1763
201,1124
202,1043
203,1337
204,1110
205,351
206,960
207,1949
208,974
209,488
210,1163
211,955
212,471
213,468
214,822
215,462
216,836
217,254
218,233
219,574
220,319
221,400
222,525
223,141
224,679
225,1015
226,2894
227,1376
228,793
229,860
230,1546
231,726
232,1517
233,2917
234,1272
235,1050
236,1383
237,477
238,389
239,326
240,204
241,563
242,426
243,571
244,1804
246,1286
247,2827
248,719
249,1561
