Estacion,Viajes
2,2757
3,2445
4,2498
5,1689
6,1740
8,1229
9,2665
10,2059
11,5810
12,2554
13,1548
14,2375
15,1868
16,3734
17,3084
18,1913
19,1961
20,1801
21,4000
22,2279
23,2625
24,1540
25,1996
26,2468
27,3251
28,2956
29,1407
30,2620
31,1789
32,3619
33,2213
34,4700
35,4941
36,2393
37,1338
38,4183
39,1857
40,2238
41,1326
42,2963
43,1617
44,1709
45,2447
46,1773
47,2021
48,1511
49,2450
50,7687
51,7453
52,6553
53,3478
54,5613
55,1679
56,5221
57,1319
58,4884
59,1691
60,1727
61,2064
62,2593
63,3466
64,4446
65,4131
66,4541
67,2104
68,1947
69,4658
70,3055
71,1515
72,2357
73,3939
74,2062
75,5706
76,1146
77,2028
78,2235
79,2511
80,4459
81,1827
82,2432
83,1750
84,1893
85,3640
86,4167
87,1108
88,1457
91,62
92,162
93,142
95,125
96,250
97,110
98,438
100,406
101,111
102,345
103,249
104,127
105,171
106,749
107,38
108,249
110,300
111,416
112,193
113,47
114,127
115,112
117,442
118,85
119,125
120,116
125,490
126,537
127,548
128,299
129,139
130,790
131,620
132,364
133,881
134,381
135,364
136,442
137,291
139,371
140,780
141,1469
142,823
143,1057
144,416
145,193
146,246
147,444
148,1185
149,398
150,650
151,483
152,410
153,468
154,1714
155,1615
156,2531
157,3101
158,2569
159,1132
160,1799
161,1609
162,2394
163,2052
164,831
165,2339
166,1864
167,564
168,2023
169,1538
170,1930
171,3033
172,1906
173,4700
174,1835
175,1949
176,1195
177,1290
178,1599
179,2045
180,1914
181,1255
182,2493
183,1491
184,952
185,795
186,980
187,844
188,1951
189,1261
190,1087
191,1517
192,947
193,1046
194,2875
195,1702
196,3193
197,1467
198,2017
199,3568
200,1927
201,1296
202,1113
203,1535
204,1113
205,425
206,912
207,1585
208,1124
209,451
210,1128
211,1275
212,522
213,377
214,601
215,505
216,947
217,234
218,227
219,628
220,293
221,426
222,594
223,115
224,889
225,857
226,2829
227,1208
228,757
229,747
230,1485
231,653
232,1546
233,2555
234,1188
235,966
236,1368
237,604
238,403
239,253
240,167
241,512
242,460
243,559
244,1743
246,1103
247,2640
248,584
249,1781
