Estacion,Viajes
2,3659
3,3220
4,3484
5,2197
6,1837
8,1685
9,3422
10,2297
11,7646
12,3224
13,2163
14,3051
15,2127
16,4819
17,4342
18,2553
19,2266
20,1920
21,5321
22,3075
23,3927
24,1835
25,2372
26,3261
27,4385
28,3457
29,1820
30,3365
31,2047
32,4243
33,3105
34,6667
35,6367
36,2949
37,1967
38,5249
39,2746
40,2575
41,1621
42,3468
43,1949
44,1982
45,3251
46,2693
47,2364
48,1663
49,3587
50,10095
51,13961
52,8612
53,5101
54,7180
55,2094
56,6875
57,2227
58,5956
59,2224
60,1991
61,2204
62,3635
63,4853
64,5097
65,5959
66,6541
67,3199
68,2133
69,5747
70,3846
71,2124
72,3102
73,4307
74,2903
75,7099
76,1804
77,1726
78,2752
79,3691
80,4951
81,2521
82,2830
83,2203
84,2206
85,4829
86,5248
87,1474
88,1738
91,169
92,175
93,145
95,212
96,156
98,406
100,336
101,150
102,337
103,321
104,117
105,211
106,729
107,38
108,272
110,458
111,439
112,335
113,109
114,152
115,86
117,520
118,66
119,176
120,133
125,743
126,796
127,653
128,364
129,236
130,798
131,741
132,353
133,1016
134,483
135,483
136,411
137,300
139,361
140,1182
141,1927
142,1239
143,1232
144,291
145,267
146,409
148,1483
149,581
150,935
151,717
152,771
153,528
154,1849
155,1935
156,3023
157,3419
158,2907
159,1248
160,2415
161,2257
162,4046
163,2537
164,1248
165,3541
166,2027
167,936
168,2901
169,1758
170,2076
171,3952
172,2925
173,5242
174,2232
175,2582
176,1493
177,1573
178,2373
179,2160
180,2246
181,1473
182,3334
183,2114
184,1399
185,978
186,955
187,1060
188,2884
189,1416
190,1324
191,1693
192,1350
193,1380
194,5382
195,2428
196,4272
197,2178
198,2385
199,3888
200,2071
201,1585
202,1458
203,2204
204,1342
205,428
206,872
207,2119
208,1443
209,608
210,1402
211,1356
212,773
213,539
214,648
215,377
216,1367
217,177
218,446
219,652
220,344
221,834
222,804
223,334
224,1872
225,1180
226,3666
227,1896
228,1222
229,908
230,1819
231,805
232,1841
233,3217
234,1245
235,1293
236,1928
237,673
238,552
239,348
240,296
241,624
242,423
243,763
244,1867
246,2061
247,3716
248,937
249,1927
250,1600
251,577
